Date,pkr_to_oneDollar,Gold_Price_In_Dolars,Petrol_Price,Year,Month,lag_1,lag_2,lag_3,rolling_mean_3,diff_1
2023-03-01,261.0,170.9499969482422,272.0,2023,3,266.5,226.5,224.25,251.33333333333334,-5.5
2023-04-01,284.5,183.8500061035156,282.0,2023,4,261.0,266.5,226.5,270.6666666666667,23.5
2023-05-01,283.22,186.0500030517578,281.0,2023,5,284.5,261.0,266.5,276.24,-1.2799999999999727
2023-06-01,285.0,182.80999755859372,262.0,2023,6,283.22,284.5,261.0,284.24,1.7799999999999727
2023-07-01,286.0,178.61000061035156,253.0,2023,7,285.0,283.22,284.5,284.74,1.0
2023-08-01,286.65,180.8500061035156,272.0,2023,8,286.0,285.0,283.22,285.8833333333333,0.6499999999999773
2023-09-01,305.5,180.8000030517578,283.38,2023,9,286.65,286.0,285.0,292.71666666666664,18.850000000000023
2023-10-01,288.3,170.22999572753906,283.38,2023,10,305.5,286.65,286.0,293.48333333333335,-17.19999999999999
2023-11-01,280.75,183.91000366210935,281.38,2023,11,288.3,305.5,286.65,291.51666666666665,-7.550000000000011
2023-12-01,284.96,188.80999755859372,267.34,2023,12,280.75,288.3,305.5,284.67,4.2099999999999795
2024-01-01,278.981,191.44000244140625,259.34,2024,1,284.96,280.75,288.3,281.5636666666667,-5.978999999999985
